2005,7.3
2006,8.9
2007,12.5
2008,25
2009,30.1
2010,50.7
2011,69.1
2012,60.5
2013,55.8
2014,59.9
2015,54.1
2016,93.7
2017,101.8
2018,92.5
2019,98.7
